Date,Stock,Buy price,Units,Action,Total
2019-05-24,Boeing,355.5,1,B,355.5
2019-05-24,Vertex,171.67,4,B,686.68
2019-05-24,Coca-Cola,49.67,10,B,496.7
2019-05-24,Procter & Gamble,106.74,4,B,426.96
2019-05-30,Microsoft,125.29,3,B,375.87
2019-08-06,Vanguard Total International Stock ETF,49.81,20,B,996.2
2019-08-15,HSBC,35.74,20,B,714.8
2019-08-15,HSBC,35.74,30,B,1072.2
2019-08-28,Beyond Meat,158.28,2,B,316.56
2019-09-25,Nasdaq,101.82,25,B,2545.5
2019-10-24,Twitter,30.57,15,B,458.55
2019-11-05,Amazon,1804.05,1,B,1804.05
2019-11-20,Vanguard Total Stock Market ETF,158.47,14,B,2218.58
2019-11-27,PagerDuty,25.87,3,S,77.61
2019-11-27,JD,32.71,6,S,196.26
2019-11-27,Vanguard Total Stock Market ETF,160.45,6,B,962.7
2019-12-04,Vanguard FTSE Emerging Markets Fund,42.29,30,B,1268.7
